Date,Average Price,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,Type,Production
2015-12-27,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,0,5.28
2015-08-02,1.15,405898.44,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,0,5.28
2015-03-08,1.26,657745.9,55284.8,367670.93,42267.91,192522.26,188374.49,4147.77,0,0,5.28
2015-10-11,1.14,485706.68,5145.86,378295.9,355.03,101909.89,97513.23,4396.66,0,0,5.28
2015-05-17,1.35,137050.23,932.52,61668.49,56.53,74392.69,73414.91,977.78,0,0,5.28
2015-12-20,0.98,139917.89,29500.04,55520.58,19842.51,35054.76,33273.25,1781.51,0,0,5.28
2015-07-26,1.12,791332.34,26653.29,577460.34,99066.58,88152.13,83728.75,3516.34,907.04,0,5.28
2015-03-01,0.89,226951.64,3610.46,157400.74,18680.72,47259.72,14963.96,28229.86,4065.9,0,5.28
2015-10-04,0.82,1104602.14,491729.14,439095.32,50993.14,122784.54,107305.26,15396.93,82.35,0,5.28
2015-05-10,1.08,735145.02,148762.57,454026.16,16724.31,115631.98,49343.56,66285.96,2.46,0,5.28
2015-12-13,1.24,117645.69,3809.88,69582.68,3264.07,40989.06,38257.02,2231.37,500.67,0,5.28
2015-07-19,1.12,3436864.41,449090.82,1843047.36,454643.18,690083.05,535843.25,110898.39,43341.41,0,5.28
2015-02-22,1.2,191040.19,32241.22,83702.91,506.96,74589.1,73386.08,1203.02,0,0,5.28
2015-09-27,0.86,968988.09,383218.43,458982.9,16780.9,110005.86,61098.51,48907.35,0,0,5.28
2015-05-03,1.13,178889.83,18025.82,113204.3,7488.56,40171.15,21559.51,17453.1,1158.54,0,5.28
2015-12-06,0.89,244024.83,94777.64,107758.8,10794.34,30694.05,30201.26,492.79,0,0,5.28
2015-07-12,1.03,2652480.7,1707544.28,548712.47,83398.45,312825.5,298568.77,11398.26,2858.47,0,5.28
2015-02-15,1.13,80537.77,3843.22,50486.3,1394.17,24814.08,11567.45,12926.67,319.96,0,5.28
2015-09-20,1.13,2447264.74,555127.12,1122683.82,208537.92,560915.88,479718.29,76793.78,4403.81,0,5.28
2015-04-26,1.08,166556.79,117295.03,8599.82,15685.44,24976.5,21480.56,3495.94,0,0,5.28
2015-11-29,1.16,999169.64,13652.41,814571.57,863.58,170082.08,139508.76,30573.32,0,0,5.28
2015-07-05,1.24,4855273.71,122190.4,3328289.46,92678.08,1312115.77,1208641.02,102680.02,794.73,0,5.28
2015-02-08,1.03,363935.24,4606.01,308443.03,33.62,50852.58,50014.8,837.78,0,0,5.28
2015-09-13,1.19,454795.64,15898.8,346217.39,752.17,91927.28,78976.79,12950.49,0,0,5.28
2015-04-19,0.51,1366844.88,1097285.22,164460.99,7534.3,97564.37,44646.67,52917.7,0,0,5.28
2015-11-22,1.1,1281613.28,584490.6,403638.25,15421.83,278062.6,260079.65,16838.2,1144.75,0,5.28
2015-06-28,1.16,508174.09,196765.08,223128.51,21601.64,66678.86,66557.46,98.42,22.98,0,5.28
2015-02-01,0.99,344288.82,79507.9,115316.24,88450.29,61014.39,41191.91,19822.48,0,0,5.28
2015-09-06,1.09,131197.71,42757.3,55250.67,139.46,33050.28,33001.48,42.7,6.1,0,5.28
2015-04-12,1.24,382583.75,119295.38,208546.45,13073.16,41668.76,41625.86,42.9,0,0,5.28
2015-11-15,0.99,775848.72,165884.02,517366.37,27969.25,64629.08,63811.01,780,38.07,0,5.28
2015-06-21,1.19,577605,178641.03,272213.83,16161.24,110588.9,110537.43,31.33,20.14,0,5.28
2015-01-25,1.06,311348.31,187805.04,46947.97,12431.59,64163.71,45690.04,18473.67,0,0,5.28
2015-08-30,1.19,2544630.5,1422797.76,464251.81,31618.81,625962.12,489650.49,136184.25,127.38,0,5.28
2015-04-05,1.15,73681.06,30529.69,29902.8,3073.43,10175.14,10090.7,84.44,0,0,5.28
2015-11-08,1.23,55560.09,645.86,37788.65,12.84,17112.74,16690.52,422.22,0,0,5.28
2015-06-14,1.17,294964.3,152836.19,39330.6,2087.35,100710.16,82324.41,18385.75,0,0,5.28
2015-01-18,1.03,29043458.85,11858139.34,11701947.8,831301.9,4652069.81,3873041.26,771093.2,7935.35,0,5.28
2015-08-23,0.8,740213.87,535570.33,100108.86,13332.23,91202.45,87927.36,3275.09,0,0,5.28
2016-03-27,1.49,92529.27,808.5,78146.18,36.73,13537.86,13037.43,500.43,0,0,5.64
2016-10-30,1.86,522546.62,58412.45,304616.52,27903.69,131613.96,130682.92,565.76,365.28,0,5.64
2016-06-05,0.63,95948.06,31280,5422.61,11.56,59233.89,59206.93,8.8,18.16,0,5.64
2016-01-10,1.15,536674.53,4120.09,391873.45,13321.08,127359.91,127177.65,182.26,0,0,5.64
2016-08-14,1.07,6538335.89,2200099.61,2538994.07,218247.48,1580994.73,1476927.5,73032.78,31034.45,0,5.64
2016-03-20,1.15,205367.45,33581.86,101739.82,18631.48,51414.29,45426.62,5987.67,0,0,5.64
2016-10-23,0.96,273804,2790.12,94637.5,1181.38,175195,18785.57,156407.87,1.56,0,5.64
2016-05-29,0.93,201747.62,95063.05,36787.21,7985.33,61912.03,53230.25,6885.94,1795.84,0,5.64
2016-01-03,0.78,1191927.54,551921.61,411340.37,80184.39,148481.17,144358.85,3764.81,357.51,0,5.64
2016-08-07,1.13,352764.25,127164.35,60621.61,20552.56,144425.73,124979.56,18669.46,776.71,0,5.64
2016-03-13,1.15,149119.51,2180.17,91194.54,2607.73,53137.07,43482.47,9621.76,32.84,0,5.64
2016-10-16,1.49,205728.4,43579.25,95964.8,176.04,66008.31,65296.73,711.58,0,0,5.64
2016-05-22,1.26,296893.56,3701.05,224262.53,521.9,68408.08,66397.8,940.28,1070,0,5.64
2016-12-25,1.13,135848.61,9560.82,59100.87,1962.89,65224.03,39632.2,25547.03,44.8,0,5.64
2016-07-31,1.23,152777.16,67403.11,31854.3,440.28,53079.47,25243.34,23054.74,4781.39,0,5.64
2016-03-06,0.91,311402.83,139919.03,86200.19,6809.69,78473.92,51367.6,27106.32,0,0,5.64
2016-10-09,1.15,78262.36,1705.62,36812.98,328.99,39414.77,11916.09,27498.68,0,0,5.64
2016-05-15,0.88,889357.25,408466.47,227686.36,223.52,252980.9,64835.66,185705.24,2440,0,5.64
2016-12-18,0.92,158024.16,66411.85,16272.07,104.08,75236.16,57450.73,16375.43,1410,0,5.64
2016-07-24,1.16,261491.83,127608.67,41610.13,397,91876.03,68532.55,10508.48,12835,0,5.64
2016-02-28,1.15,1594427.98,18295.61,1282457.13,2027.64,291647.6,249147.27,42500.33,0,0,5.64
2016-10-02,1.52,291185.37,18423.35,222357.93,3193.18,47210.91,47207.35,3.56,0,0,5.64
2016-05-08,0.95,432737.31,213997.13,80588.36,259.09,137892.73,60411.28,77481.45,0,0,5.64
2016-12-11,0.67,1056806.44,508911.67,226307.94,14222.88,307363.95,154962.56,152350,51.39,0,5.64
2016-07-17,1.25,113655.96,1416.4,54927.04,1132.71,56179.81,39074.78,10590.03,6515,0,5.64
2016-02-21,1.03,1672884.28,784111.14,499720.63,24200.11,364852.4,325916.64,37205.76,1730,0,5.64
2016-09-25,1.35,255043.21,88405.04,70494.6,15699.74,80443.83,77829.34,2614.49,0,0,5.64
2016-05-01,0.95,283660.1,67526.83,132271.16,6670.54,77191.57,77132.4,2.67,56.5,0,5.64
2016-12-04,1.29,315955.99,110569.37,156812.81,1306.3,47267.51,45560.08,382.43,1325,0,5.64
2016-07-10,0.98,604082.24,186258.97,204704.57,20782.97,192335.73,171944.56,19129.5,1261.67,0,5.64
2016-02-14,1.34,696959.32,200199.01,357790.26,39859.46,99110.59,98394.37,688.22,28,0,5.64
2016-09-18,1.12,331549.04,153616.97,62717.83,5940.65,109273.59,75354.15,33919.44,0,0,5.64
2016-04-24,0.7,6893900.54,3348754.08,1465437.6,564146.38,1515562.48,1161263.73,346494.76,7803.99,0,5.64
2016-11-27,1.49,49762.2,8071.55,17786.23,33.27,23871.15,23852.61,13.46,5.08,0,5.64
2016-07-03,0.76,348135.49,65689.33,21478.32,467.21,260500.63,225966.72,21420.64,13113.27,0,5.64
2016-02-07,1.28,90935.19,1462.82,60707.3,23.26,28741.81,28032.92,708.89,0,0,5.64
2016-09-11,1.08,34126730.95,12962762.94,10380438.09,512160.27,10271369.65,8199580.75,2016484.84,55304.06,0,5.64
2016-04-17,0.77,7592473.98,2283526.35,2074920.94,168334.55,3065692.14,1944100.53,1112775.44,8816.17,0,5.64
2017-11-26,1.5,62977,2413,49076,62,11426,5059,6368,0,0,6.01
2017-07-09,1.19,507337.7,233475.62,57935.64,442.12,215484.32,138657.24,69372.08,7455,0,6.01
2017-02-19,1.38,721257.38,96158.54,434568.32,9538.66,180991.86,169659.38,10733.87,598.61,0,6.01
2017-10-08,1.61,451608.73,16621.16,322931.92,1266.34,110789.31,76160.93,34628.38,0,0,6.01
2017-05-21,1.71,139635.02,1486.31,72163.62,56.41,65928.68,63239.7,2270.93,418.05,0,6.01
2017-01-01,0.89,7175276.66,2266313.37,2877688.31,90899.53,1940375.45,1762033.74,151333.95,27007.76,0,6.01
2017-08-20,1.88,674811.14,91477.74,349704,140354.25,93275.15,79635.38,9073.11,4566.66,0,6.01
2017-04-02,1.01,290569.6,7282.55,72866.01,1092.42,209328.62,33461.38,175820.25,46.99,0,6.01
2017-11-19,0.94,958421,561075,167540,3568,226238,137522,88658,57,0,6.01
2017-07-02,1.19,813544.33,124815.87,182812.48,25202.91,480713.07,167076.97,313376.38,259.72,0,6.01
2017-02-12,0.74,475602.7,148920.01,87966.44,9992.23,228724.02,212979.31,14028.85,1715.86,0,6.01
2017-10-01,1.89,2289168.77,444534.18,780137.97,169347.13,895149.49,599057.03,269972.31,26120.15,0,6.01
2017-05-14,1.54,239036.52,52237.47,95012.5,152.37,91634.18,90107.34,1469.9,56.94,0,6.01
2017-12-31,0.78,1391181.63,564063.25,209000.62,4194.25,613923.51,527743.84,86179.67,0,0,6.01
2017-08-13,1.49,154354.18,7053.96,68255.91,800.61,78243.7,36182.69,40113.9,1947.11,0,6.01
2017-03-26,1.62,149813.32,81656.27,16051.23,125.48,51980.34,20444.62,31040.72,495,0,6.01
2017-11-12,1.08,2626121,1225567,413517,72562,914474,851550,23684,39240,0,6.01
2017-06-25,0.97,114003.27,2137.42,43420.23,203.5,68242.12,20546.42,47643.48,52.22,0,6.01
2017-02-05,0.87,1254201.12,689710.71,281503.4,629.67,282357.34,102844.25,178368.65,1144.44,0,6.01
2017-09-24,1.66,159412.07,74533.49,22831.21,82.19,61965.18,54501.62,7350.47,113.09,0,6.01
2017-05-07,1.02,423839.41,261367.48,53102.06,220.92,109148.95,86740.85,17223.1,5185,0,6.01
2017-12-24,1.37,3489057.04,186562.39,2247768.56,6300.51,1048425.58,887121.16,161276.62,27.8,0,6.01
2017-08-06,1.59,462412.85,7918.05,369483.25,4703.97,80307.58,22061.56,55252.69,2993.33,0,6.01
2017-03-19,1.53,287195.89,160686.42,38524.03,47,87938.44,56308.21,31630.23,0,0,6.01
2017-11-05,0.79,1208035.4,555816.37,227846.11,9212.36,415160.56,330740.57,81893.32,2526.67,0,6.01
2017-06-18,1.29,119743.9,47857.66,32486.05,1543.23,37856.96,27652.92,8201.54,2002.5,0,6.01
2017-01-29,1.06,2057899.39,896361.8,569685.24,6640.06,585212.29,503163.84,55896.78,26151.67,0,6.01
2017-09-17,1.47,274560.95,81352.87,94454.59,4978.32,93775.17,91738.58,2026.59,10,0,6.01
2017-04-30,1.18,285128.95,89984.49,87015.16,2182.03,105947.27,102188.75,3730.86,27.66,0,6.01
2017-12-17,1.2,404548.13,122866.5,225425.46,795.93,55460.24,49298.88,868.99,5292.37,0,6.01
2017-07-30,1.48,444013.66,174486.03,137655.83,21223.58,110648.22,101946.55,6750.08,1951.59,0,6.01
2017-03-12,1.8,620908.22,173434.03,354307.59,7050.37,86116.23,82363.32,407.28,3345.63,0,6.01
2017-10-29,1.32,310343.81,139889.99,57049.49,2572.09,110832.24,74082.72,35393.69,1355.83,0,6.01
2017-06-11,0.93,6526488.94,3540683.7,1042887.71,21574.2,1921343.33,1496503.74,401617.34,23222.25,0,6.01
2017-01-22,0.97,4992701.64,1897606.32,1188251.05,11258.47,1895585.8,834407.94,1059745.36,1432.5,0,6.01
2017-09-10,1.47,197546.49,109797.39,15410.99,55.81,72282.3,61599.32,10532.93,150.05,0,6.01
2017-04-23,1.5,63453.06,2063.37,36408.59,18,24963.1,21108.83,3854.27,0,0,6.01
2017-12-10,1.03,35634913.01,11943914.54,11659897.51,398348.55,11632752.41,8404955.25,3122650.26,105146.9,0,6.01
2017-07-23,1.18,6311280.51,2072496.16,1969142.59,112050.77,2157590.99,916284.35,1234707.82,6598.82,0,6.01
2017-03-05,0.84,841019.69,466853.14,55790.06,28477.27,289899.22,128328.66,161570.56,0,0,6.01
2018-03-04,1.19,168190.37,13533.32,75344.69,67.47,79244.89,23485.14,55219.75,540,0,6.77
2018-02-25,0.74,1616898.5,807933.71,231111.57,6306.38,571546.84,477107.45,75376.35,19063.04,0,6.77
2018-02-18,1.42,283265.66,11150.75,209791.73,212.96,62110.22,60822.76,386.35,901.11,0,6.77
2018-02-11,0.87,130566.55,37508.86,30307.97,307.16,62442.56,42692.52,19050.04,700,0,6.77
2018-02-04,1.22,7508650.27,480603.9,5402444.45,14403.38,1611198.54,1275859.94,329682.23,5656.37,0,6.77
2018-01-28,0.99,2533937.56,1387712.4,515698.93,6371.3,624154.93,474701.92,149437.52,15.49,0,6.77
2018-01-21,1.26,460708.82,192219.39,122174.21,17624.92,128690.3,121675.53,4729.22,2285.55,0,6.77
2018-01-14,1.2,102537.95,25067.66,30621.77,483.2,46365.32,22425.95,23850.96,88.41,0,6.77
2018-01-07,0.88,880266.52,436282.38,178669.53,9467.11,255847.5,99686.92,155870.58,290,0,6.77
2015-08-09,2.01,5579.38,2291.03,2855.35,0,433,49.96,383.04,0,1,5.28
2015-03-15,1.59,11586.41,6527.12,3390.64,745.35,923.3,923.3,0,0,1,5.28
2015-10-18,1.26,6986.04,19.93,488.69,0,6477.42,6387.39,90.03,0,1,5.28
2015-05-24,1.8,5016.96,33.04,169.92,0,4814,4814,0,0,1,5.28
2015-12-27,1.9,2948.39,389.52,1416.49,682.38,460,460,0,0,1,5.28
2015-08-02,1.59,27490.93,614.02,26526.91,0,350,350,0,0,1,5.28
2015-03-08,1.17,13070.44,251.86,9304.08,0,3514.5,1373.33,2141.17,0,1,5.28
2015-10-11,1.48,10647.39,6628.99,378.41,0,3639.99,3636.66,3.33,0,1,5.28
2015-05-17,1.22,45514.57,19911.52,8929.9,18.89,16654.26,4177.16,12477.1,0,1,5.28
2015-12-20,1.66,1991.44,1015.15,816.29,0,160,160,0,0,1,5.28
2015-07-26,1.5,87348.95,3971.27,63468.5,0,19909.18,4387.73,15521.45,0,1,5.28
2015-03-01,1.74,3063.7,44.66,266.54,7.83,2744.67,2744.67,0,0,1,5.28
2015-10-04,1.48,10800.6,6511.05,101.39,0,4188.16,4188.16,0,0,1,5.28
2015-05-10,1.08,4169.57,110.38,845.07,0,3214.12,820,2394.12,0,1,5.28
2015-12-13,1.89,5606.22,1979.71,3117.37,0,509.14,408.49,100.65,0,1,5.28
2015-07-19,1.56,41636.8,17780.38,15390.1,0,8466.32,8466.32,0,0,1,5.28
2015-02-22,1.67,1347.62,14.29,658.47,0,674.86,443.33,231.53,0,1,5.28
2015-09-27,1.76,52253.69,2191.94,31426.09,3164.97,15470.69,13112.36,2358.33,0,1,5.28
2015-05-03,1.57,4529.02,334.9,2364.7,68.11,1761.31,719.19,1042.12,0,1,5.28
2015-12-06,1.65,18494.23,4117.08,7226.46,1106.58,6044.11,200.3,5843.81,0,1,5.28
2015-07-12,2.01,40245.19,4205.24,19850.58,90.1,16099.27,16093.19,6.08,0,1,5.28
2015-02-15,1.87,7199.17,7.88,590.77,0,6600.52,6600.52,0,0,1,5.28
2015-09-20,1.87,3957.04,620.65,1921.1,24.64,1390.65,1390.65,0,0,1,5.28
2015-04-26,1.65,17775.41,11276.67,4970.49,0,1528.25,726.67,801.58,0,1,5.28
2015-11-29,1.82,23344.7,3959.16,12315.78,28.42,7041.34,4404.5,2636.84,0,1,5.28
2015-07-05,1.93,24954.8,8938.08,14928.33,3.33,1085.06,0,1085.06,0,1,5.28
2015-02-08,1.73,5749.75,56.66,2117.25,855.4,2720.44,2635.69,84.75,0,1,5.28
2015-09-13,1.84,5971.62,89.37,5082.81,0,799.44,793.33,6.11,0,1,5.28
2015-04-19,1.65,9164.67,4447.66,4568.21,0,148.8,148.8,0,0,1,5.28
2015-11-22,2.04,14355.23,791.25,13499.38,0,64.6,37.93,26.67,0,1,5.28
2015-06-28,1.71,46229.47,8112.46,37972.31,144.7,0,0,0,0,1,5.28
2015-02-01,1.66,3977.03,456.99,1272.79,503.05,1744.2,1580,164.2,0,1,5.28
2015-09-06,1.9,30582.99,8521.29,9414.03,830.21,11817.46,11330.12,487.34,0,1,5.28
2015-04-12,1.58,6356.7,837.43,5183.14,0,336.13,106.12,230.01,0,1,5.28
2015-11-15,1.64,1350.16,0,114.22,0,1235.94,1235.94,0,0,1,5.28
2015-06-21,1.84,1346.16,915.05,16.56,0,414.55,414.55,0,0,1,5.28
2015-01-25,1.53,556368.86,207494.87,212312.02,4753.87,131808.1,95964.83,35843.27,0,1,5.28
2015-08-23,1.61,11341.36,5070.74,3018.12,0,3252.5,2216.67,1035.83,0,1,5.28
2016-03-27,1.65,1705.39,14.07,98.52,0,1592.8,1592.8,0,0,1,5.64
2016-10-30,1.85,17148.36,546.41,12485.25,681.32,3435.38,3424.06,11.32,0,1,5.64
2016-06-05,1.65,1829.78,0,1431.5,0,398.28,373.33,24.95,0,1,5.64
2016-01-10,1.32,7751.94,65.96,766.46,1.2,6918.32,6918.32,0,0,1,5.64
2016-08-14,1.47,208956.81,28111.21,84313.38,35.82,96496.4,88974.66,7521.74,0,1,5.64
2016-03-20,1.57,4713.35,370.07,2022.52,490.82,1829.94,1829.94,0,0,1,5.64
2016-10-23,1.2,17064.45,488.59,7531.36,0,9044.5,629.95,8414.55,0,1,5.64
2016-05-29,1.39,7507.51,371.44,4348.79,54.16,2733.12,590.47,2142.65,0,1,5.64
2016-01-03,1.26,10777.27,4802.52,397.26,0,5577.49,5384.85,192.64,0,1,5.64
2016-08-07,1.33,18837.12,848.8,8894.04,0,9094.28,768.46,8325.82,0,1,5.64
2016-03-13,1.33,1643.43,258.14,916.85,0,468.44,450,18.44,0,1,5.64
2016-10-16,1.79,5193.18,135.24,192.75,11.95,4853.24,4853.24,0,0,1,5.64
2016-05-22,2.36,10501.75,29.41,3535.03,0,6937.31,6925.43,11.88,0,1,5.64
2016-12-25,1.62,2583.94,114.51,1052.73,0,1416.7,1027.03,389.67,0,1,5.64
2016-07-31,1.92,3706.68,1943.32,112.23,37.8,1613.33,1593.33,20,0,1,5.64
2016-03-06,1.3,11858.2,2926.28,3544.22,0,5387.7,5100.95,286.75,0,1,5.64
2016-10-09,1.08,4017.83,0,1676,0,2341.83,273.33,2068.5,0,1,5.64
2016-05-15,1.42,6346.82,757.35,34.54,0,5554.93,5548.26,6.67,0,1,5.64
2016-12-18,1.05,4534.36,209.22,2077.44,0,2247.7,27.22,2220.48,0,1,5.64
2016-07-24,1.41,4106.49,588.36,0,0,3518.13,3458.13,60,0,1,5.64
2016-02-28,1.96,32608.62,4923.95,13005.25,1706.3,12973.12,9947.04,3026.08,0,1,5.64
2016-10-02,1.58,12400.93,0,173.16,0,12227.77,12227.77,0,0,1,5.64
2016-05-08,1.68,5598.49,2770.42,153.63,0,2674.44,2674.44,0,0,1,5.64
2016-12-11,1.83,8087.23,1880.06,3240.23,0,2966.94,2915.48,51.46,0,1,5.64
2016-07-17,1.44,5896.38,608.4,197.45,0,5090.53,5069.15,21.38,0,1,5.64
2016-02-21,1.34,51258.32,3340.91,19357.61,4679.89,23879.91,8502.6,15377.31,0,1,5.64
2016-09-25,1.81,12807.68,226.31,4839.49,424.31,7317.57,6302.22,1015.35,0,1,5.64
2016-05-01,1.37,8833.79,250.93,4755.75,276.15,3550.96,2973.38,577.58,0,1,5.64
2016-12-04,2.52,4384.51,1687.59,2234.55,0,462.37,462.37,0,0,1,5.64
2016-07-10,1.43,20997.51,2752.28,8317.59,0,9927.64,9927.64,0,0,1,5.64
2016-02-14,2.37,21276.09,1014.44,20230.54,0,31.11,31.11,0,0,1,5.64
2016-09-18,1.66,9465.99,479.32,3496.18,354.07,5136.42,3837.2,1299.22,0,1,5.64
2016-04-24,1.11,110395.86,27167.11,16727.91,39.84,66461,46304.57,20156.43,0,1,5.64
2016-11-27,1.33,3169.8,38.57,645.56,0,2485.67,23.68,2461.99,0,1,5.64
2016-07-03,1.75,4788.38,398.73,1834.52,8.94,2546.19,2546.19,0,0,1,5.64
2016-02-07,2.06,3082.71,1.25,172.76,0,2908.7,797.23,2111.47,0,1,5.64
2016-09-11,1.52,1103488.85,144991.21,334671.53,3481.85,620344.26,438024.44,182319.82,0,1,5.64
2016-04-17,1.31,250678.16,32114.27,89178.52,155.12,129230.25,64711.23,64519.02,0,1,5.64
2017-11-26,1.57,2841.29,27.75,182.15,0,2631.39,2631.39,0,0,1,6.01
2017-07-09,1.61,22122.61,564.97,10263.73,0,11293.91,4751.26,6542.65,0,1,6.01
2017-02-19,1.81,21623.61,1775.21,10428.06,261.83,9158.51,9074.7,83.81,0,1,6.01
2017-10-08,1.56,30044.2,15.95,1103.1,0,28925.15,28907.37,17.78,0,1,6.01
